"","X1","X2","intercept.M.vs.rest","coeff.M.vs.rest","pVal.M.vs.rest","pValHolm.M.vs.rest","qValBH.M.vs.rest","notMiss1.M.vs.rest","notMiss0.M.vs.rest"
"CFHR1_Q03591","Q03591","CFHR1",23.2995077345334,-0.339369904259082,0.0386271178160986,1,0.0890581561960615,18,39
"NRP1_O14786","O14786","NRP1",18.6809104899757,0.291204869461009,0.0387353318770974,1,0.0890581561960615,19,36
"SELENOP_P49908","P49908","SELENOP",22.5464556965663,-0.337386110332457,0.0391379462891739,1,0.0892212504388795,19,40
"HSPG2_P98160","P98160","HSPG2",18.6451455724864,0.216147221452572,0.0401199132823183,1,0.0906912325457447,19,40
"CPN2_P22792","P22792","CPN2",23.774653413299,0.17666841448623,0.0431002015807076,1,0.0966162852100862,19,40
"CTBS_Q01459","Q01459","CTBS",19.150718409251,-0.338982117551601,0.0438199544974432,1,0.0974179153703488,15,38
"PRG4_Q92954-3","Q92954-3","PRG4",20.8032978217929,0.325824966082614,0.0462297110260854,1,0.101932723491942,19,40
"CPB2_Q96IY4","Q96IY4","CPB2",22.2260280590184,-0.277687261551687,0.0469684586692523,1,0.102719637252267,19,40
"LCN2_P80188","P80188","LCN2",19.5883627655086,-0.616578964408373,0.0496914865993138,1,0.107798466896898,19,36
"PGK1_P00558","P00558","PGK1",19.0213528828913,-0.667254362345416,0.0503124963782687,1,0.108272492206034,16,38
"PIGR_P01833","P01833","PIGR",20.8080928462639,0.476434364709302,0.0507745005360501,1,0.108399528922202,19,40
"LCAT_P04180","P04180","LCAT",19.4861166234206,-0.378372319230813,0.0518437275892529,1,0.109296403451473,18,40
"IL1RAP_Q9NPH3;Q9NPH3-2;Q9NPH3-5","Q9NPH3;Q9NPH3-2;Q9NPH3-5","IL1RAP",19.4410679288144,-0.257928146862937,0.0520072105642697,1,0.109296403451473,17,39
"C3_P01024","P01024","C3",28.6229955750086,-0.201202474984539,0.0567332346107029,1,0.118304186901388,19,40
"GGH_Q92820","Q92820","GGH",19.114141273495,-0.396646209112047,0.0592387891225159,1,0.122578725184283,14,38
"TFRC_P02786","P02786","TFRC",20.1159082234787,-0.266257367810414,0.0601754103934875,1,0.123566300731665,19,40
"MST1_P26927","P26927","MST1",21.5513627733548,-0.269295250755355,0.0627010551742435,1,0.127370220788263,19,40
"CA2_P00918","P00918","CA2",20.6749094764481,-0.890322805850344,0.0629748675272826,1,0.127370220788263,19,38
"LRG1_P02750","P02750","LRG1",21.6934489247463,0.569384236396873,0.0640729087971812,1,0.128623973630162,19,40
"RBP4_P02753","P02753","RBP4",24.0623720385392,-0.420220697693311,0.0664630994126315,1,0.132433879570355,19,40
"HGFAC_Q04756","Q04756","HGFAC",21.3755066643561,-0.278934197725466,0.067520752701819,1,0.133552077035215,19,40
"GSR_P00390;P00390-2;P00390-3","P00390;P00390-2;P00390-3","GSR",18.1917906822782,0.271416434235024,0.0689654869328708,1,0.135413985291549,18,40
"CHL1_O00533;O00533-2","O00533;O00533-2","CHL1",18.6479208135551,-0.292263258757327,0.0708672709532401,1,0.137526850301327,18,36
"CFP_P27918","P27918","CFP",22.2863979980431,-0.260061118637658,0.0716361379045063,1,0.137526850301327,19,40
"LPA_P08519","P08519","LPA",21.9416737786515,-1.09564829845511,0.0720051333281464,1,0.137526850301327,17,40
"MSN_P26038","P26038","MSN",19.8208588945861,-0.46455755818604,0.0720865646560861,1,0.137526850301327,19,39
"C1QA_P02745","P02745","C1QA",25.1990969706839,0.236223747475728,0.0745768294210473,1,0.141275824748322,19,40
"LGALS3BP_Q08380","Q08380","LGALS3BP",22.3233520251438,-0.422662780864165,0.0767317421605431,1,0.144341528959343,19,40
"APOA4_P06727","P06727","APOA4",24.098665540117,-0.483348737858512,0.0783445266641664,1,0.146351928282366,19,40
"CTSD_P07339","P07339","CTSD",18.6599312679163,0.41145510457167,0.0788896716835912,1,0.146353942640593,19,40
"LUM_P51884","P51884","LUM",21.3743000868932,-0.406449909049763,0.0794628302411706,1,0.146407543389554,18,40
"HSP90B1_P14625","P14625","HSP90B1",19.3175358184437,0.277479979384826,0.0813003292397685,1,0.148774071874134,19,40
"PCOLCE_Q15113","Q15113","PCOLCE",18.8259571658922,-0.266696344817444,0.0848622032269486,1,0.154242788297629,18,40
